uporabnik,tekma,rez_dom,rez_gos,tocke,gol_razlika
1,3029073,1,3,0,5
2,3029073,0,3,0,6
3,3029073,2,1,2,2
4,3029073,2,3,0,4
5,3029073,1,1,0,3
1,3029074,3,0,0,3
4,3029074,0,0,3,0
5,3029074,2,0,0,2
3,3029075,2,4,0,5
1,3029076,0,2,0,2
2,3029076,1,1,3,0
3,3029076,1,1,3,0
4,3029076,2,0,0,2
3,3029077,0,1,0,1
4,3029077,0,3,0,3
5,3029077,3,0,0,3
1,3029078,0,0,0,2
2,3029078,2,1,2,1
3,3029078,0,2,0,4
5,3029078,2,1,2,1
1,3029079,2,3,2,2
2,3029079,1,2,2,2
3,3029079,1,2,2,2
5,3029079,0,0,0,3
1,3029080,2,1,0,6
2,3029080,1,0,0,6
4,3029080,1,2,2,4
1,3029081,0,0,0,4
2,3029081,0,2,0,6
3,3029081,0,0,0,4
4,3029081,1,2,0,5
5,3029081,2,0,2,2
1,3029082,0,1,5,0
2,3029082,0,0,0,1
3,3029082,3,2,0,2
4,3029082,0,2,2,1
1,3029083,0,2,0,3
2,3029083,3,2,3,0
3,3029083,1,3,0,3
4,3029083,0,2,0,3
5,3029083,3,0,2,2
1,3029084,0,1,3,0
2,3029084,1,3,2,1
3,3029084,2,1,0,2
4,3029084,4,2,0,3
5,3029084,6,1,0,6
1,3029085,0,1,0,1
2,3029085,0,1,0,1
3,3029085,2,0,0,2
4,3029085,2,1,0,1
2,3029086,1,1,5,0
4,3029086,1,2,0,1
5,3029086,0,1,0,1
2,3029087,0,1,0,2
3,3029087,0,0,0,1
4,3029087,3,0,2,2
5,3029087,1,0,5,0
1,3029088,0,0,3,0
2,3029088,1,0,0,1
1,3029089,3,1,5,0
2,3029089,1,2,0,3
3,3029089,1,0,2,1
4,3029089,1,1,0,2
5,3029089,2,0,3,0
1,3029090,0,1,0,2
3,3029090,1,2,0,2
1,3029091,0,2,2,1
2,3029091,2,0,0,3
4,3029091,2,3,3,0
5,3029091,1,1,0,1
1,3029092,1,0,0,1
2,3029092,0,1,0,1
3,3029092,2,2,3,0
4,3029092,1,1,5,0
5,3029092,0,1,0,1
1,3029093,0,3,2,1
2,3029093,0,1,2,1
3,3029093,0,2,3,0
4,3029093,3,3,0,2
5,3029093,0,1,2,1
1,3029094,0,2,0,4
2,3029094,1,3,0,4
3,3029094,2,1,2,1
4,3029094,0,0,0,2
2,3029095,1,2,2,1
3,3029095,1,1,0,2
4,3029095,1,1,0,2
1,3029096,4,2,3,0
2,3029096,1,0,2,1
3,3029096,3,3,0,2
4,3029096,4,3,2,1
1,3029097,0,4,2,3
2,3029097,1,1,0,1
3,3029097,2,0,0,3
1,3029098,3,0,0,4
2,3029098,2,3,5,0
4,3029098,4,1,0,4
5,3029098,1,0,0,2
1,3029099,0,3,2,2
2,3029099,0,1,3,0
3,3029099,0,3,2,2
4,3029099,1,2,5,0
5,3029099,0,3,2,2
1,3029100,2,3,3,0
2,3029100,2,2,0,1
3,3029100,2,1,0,2
4,3029100,0,2,2,1
5,3029100,0,0,0,1
1,3029101,3,4,2,1
2,3029101,1,3,5,0
3,3029101,2,0,0,4
4,3029101,3,1,0,4
1,3029102,0,0,3,0
4,3029102,1,3,0,2
5,3029102,2,1,0,1
1,3029103,0,3,0,3
3,3029103,0,1,0,1
4,3029103,0,0,3,0
5,3029103,2,2,5,0
1,3029104,0,3,5,0
2,3029104,1,1,0,3
3,3029104,2,1,0,4
1,3029105,0,4,0,4
5,3029105,1,2,0,1
1,3029106,1,1,0,1
2,3029106,3,1,2,1
3,3029106,1,1,0,1
4,3029106,1,1,0,1
5,3029106,2,3,0,2
1,3029107,1,0,3,0
4,3029107,4,1,2,2
5,3029107,1,1,0,1
1,3029108,4,0,2,2
3,3029108,1,2,0,3
4,3029108,3,0,2,1
1,3029109,2,2,0,4
5,3029109,1,1,0,4
1,3029110,1,0,0,1
3,3029110,2,2,3,0
5,3029110,3,2,0,1
2,3029111,2,2,3,0
4,3029111,1,0,0,1
5,3029111,1,2,0,1
2,3029112,0,2,0,4
3,3029112,0,1,0,3
5,3029112,1,3,0,4
1,3029113,3,1,5,0
3,3029113,1,1,0,2
4,3029113,3,2,2,1
5,3029113,1,0,2,1
3,3029114,0,1,0,1
4,3029114,1,3,0,2
5,3029114,3,0,0,3
1,3029115,3,1,0,2
2,3029115,2,1,0,1
3,3029115,1,1,5,0
4,3029115,2,1,0,1
5,3029115,0,0,3,0
2,3029116,3,0,2,1
3,3029116,1,0,2,1
4,3029116,2,2,0,2
5,3029116,2,1,2,1
1,3029117,1,1,0,1
2,3029117,2,0,2,1
3,3029117,1,0,5,0
4,3029117,1,2,0,2
5,3029117,1,1,0,1
2,3029118,2,2,0,1
3,3029118,1,1,0,1
5,3029118,0,1,0,2
2,3029119,2,1,0,2
1,3029120,4,1,2,1
2,3029120,1,0,2,3
3,3029120,2,1,2,3
4,3029120,2,0,2,2
5,3029120,1,1,0,4
1,3029121,0,4,0,4
2,3029121,2,3,0,1
3,3029121,1,1,3,0
4,3029121,1,1,3,0
5,3029121,1,0,0,1
1,3029122,0,2,2,1
4,3029122,3,1,0,5
5,3029122,2,0,0,5
1,3029123,1,2,0,2
2,3029123,0,2,0,3
3,3029123,1,1,0,1
4,3029123,4,1,2,2
5,3029123,2,1,3,0
2,3029124,0,3,0,5
5,3029124,0,1,0,3
1,3029125,2,0,0,3
3,3029125,2,1,0,2
4,3029125,2,0,0,3
2,3029126,1,1,5,0
3,3029126,0,1,0,1
4,3029126,2,2,3,0
1,3029127,0,0,0,2
2,3029127,0,0,0,2
4,3029127,0,0,0,2
5,3029127,0,1,2,1
1,3029128,0,0,0,1
4,3029128,3,0,2,2
5,3029128,2,0,2,1
1,3029129,0,0,0,8
2,3029129,2,0,2,6
3,3029129,2,0,2,6
4,3029129,2,2,0,8
5,3029129,1,2,0,9
1,3029130,2,1,0,1
2,3029130,3,2,0,1
4,3029130,0,2,0,2
5,3029130,2,0,0,2
1,3029131,1,2,2,1
2,3029131,3,0,0,5
3,3029131,3,1,0,4
1,3029132,3,0,2,1
2,3029132,1,1,0,2
4,3029132,1,2,0,3
1,3029133,0,2,0,2
2,3029133,1,1,3,0
4,3029133,3,3,3,0
5,3029133,3,1,0,2
1,3029134,1,2,0,1
2,3029134,0,1,0,1
4,3029134,2,0,0,2
5,3029134,0,1,0,1
2,3029135,2,1,2,1
3,3029135,2,1,2,1
4,3029135,1,3,0,4
5,3029135,4,0,2,2
1,3029136,2,0,5,0
2,3029136,2,1,2,1
4,3029136,3,0,2,1
5,3029136,2,1,2,1
3,3029137,0,3,2,1
4,3029137,0,1,2,1
5,3029137,1,1,0,2
2,3029138,1,1,0,5
3,3029138,2,1,2,4
5,3029138,0,2,0,7
1,3029139,0,1,0,1
2,3029139,1,2,0,1
3,3029139,3,2,0,1
4,3029139,1,1,5,0
5,3029139,0,1,0,1
1,3029140,3,1,0,3
2,3029140,1,2,3,0
3,3029140,1,2,3,0
4,3029140,2,2,0,1
1,3029141,0,0,0,1
2,3029141,4,0,2,3
3,3029141,2,1,5,0
5,3029141,3,2,3,0
2,3029142,0,2,0,4
3,3029142,0,0,0,2
4,3029142,1,0,2,1
5,3029142,0,1,0,3
2,3029143,1,1,0,1
4,3029143,0,3,0,4
5,3029143,3,3,0,1
1,3029144,0,0,0,3
2,3029144,1,1,0,3
3,3029144,1,2,0,4
4,3029144,1,2,0,4
5,3029144,1,2,0,4
3,3029145,1,3,0,3
4,3029145,2,1,3,0
5,3029145,1,1,0,1
1,3029146,0,0,0,1
2,3029146,0,1,0,2
4,3029146,4,2,2,1
5,3029146,2,1,5,0
1,3029147,1,2,2,1
3,3029147,1,2,2,1
4,3029147,3,1,0,4
1,3029148,1,2,0,2
2,3029148,0,3,0,4
3,3029148,0,2,0,3
4,3029148,2,1,3,0
5,3029148,2,1,3,0
2,3029149,1,0,0,5
3,3029149,2,2,0,4
4,3029149,2,3,2,3
5,3029149,2,0,0,6
2,3029150,0,2,2,1
3,3029150,3,1,0,5
4,3029150,1,0,0,4
5,3029150,3,3,0,3
1,3029151,0,2,0,2
2,3029151,3,3,3,0
3,3029151,0,0,5,0
4,3029151,2,2,3,0
5,3029151,1,2,0,1
3,3029152,3,2,0,2
4,3029152,1,2,5,0
5,3029152,2,0,0,3
2,3029153,1,1,3,0
3,3029153,3,3,3,0
4,3029153,2,0,0,2
5,3029153,1,2,0,1
2,3029154,0,2,0,3
3,3029154,2,1,5,0
4,3029154,1,2,0,2
5,3029154,0,1,0,2
1,3029155,1,0,5,0
2,3029155,0,1,0,2
3,3029155,0,0,0,1
1,3029156,1,2,2,1
2,3029156,1,2,2,1
3,3029156,0,0,0,2
5,3029156,2,0,0,4
1,3029157,1,0,2,1
2,3029157,0,1,0,3
3,3029157,0,1,0,3
4,3029157,2,0,5,0
5,3029157,1,2,0,3
2,3029158,1,1,0,1
3,3029158,0,1,0,2
4,3029158,1,1,0,1
1,3029159,0,1,0,1
3,3029159,1,3,0,2
4,3029159,0,2,0,2
5,3029159,0,0,3,0
1,3029160,3,3,0,1
2,3029160,2,0,2,1
3,3029160,0,1,0,2
4,3029160,2,2,0,1
5,3029160,2,0,2,1
1,3029161,0,2,0,2
2,3029161,2,4,0,2
3,3029161,0,2,0,2
4,3029161,1,2,0,1
5,3029161,0,1,0,1
1,3029162,1,0,0,1
3,3029162,0,0,3,0
4,3029162,0,1,0,1
5,3029162,1,0,0,1
4,3029163,1,0,0,1
5,3029163,0,2,0,2
3,3029164,3,2,5,0
4,3029164,1,1,0,1
1,3029165,2,0,0,4
2,3029165,1,0,0,3
5,3029165,0,0,0,2
1,3029166,1,2,0,2
2,3029166,1,1,0,1
3,3029166,1,2,0,2
4,3029166,0,1,0,2
5,3029166,1,1,0,1
1,3029167,0,1,0,4
2,3029167,0,0,0,3
3,3029167,1,0,2,2
4,3029167,2,2,0,3
5,3029167,1,1,0,3
1,3029168,1,1,5,0
3,3029168,1,0,0,1
4,3029169,1,1,0,2
5,3029169,1,2,2,1
2,3029170,2,1,0,10
3,3029170,1,1,0,9
4,3029170,1,6,2,4
5,3029170,1,1,0,9
1,3029171,0,1,0,1
2,3029171,0,1,0,1
3,3029171,0,0,5,0
4,3029171,2,1,0,1
5,3029171,1,0,0,1
1,3029172,2,3,0,1
2,3029172,1,1,5,0
3,3029172,0,1,0,1
4,3029172,3,1,0,2
1,3029173,0,3,0,4
2,3029173,2,2,0,1
3,3029173,2,2,0,1
4,3029173,1,1,0,1
5,3029173,1,1,0,1
1,3029174,0,0,3,0
2,3029174,1,0,0,1
3,3029174,1,0,0,1
4,3029174,2,2,3,0
5,3029174,1,1,5,0
1,3029175,2,0,0,3
2,3029175,1,2,5,0
3,3029175,1,2,5,0
5,3029175,1,2,5,0
1,3029176,3,4,0,3
2,3029176,0,3,0,5
4,3029176,1,1,0,2
2,3029177,1,0,0,3
3,3029177,3,3,0,2
4,3029177,0,0,0,2
1,3029178,3,0,0,3
2,3029178,1,1,5,0
3,3029178,1,3,0,2
4,3029178,2,3,0,1
2,3029179,1,3,0,3
4,3029179,1,2,0,2
1,3029180,2,2,0,3
2,3029180,0,0,0,3
3,3029180,1,2,0,4
5,3029180,1,0,2,2
2,3029181,3,0,0,4
3,3029181,1,2,5,0
4,3029181,2,0,0,3
5,3029181,3,3,0,1
1,3029182,1,2,3,0
4,3029182,3,1,0,3
5,3029182,0,2,2,1
1,3029183,2,2,0,3
3,3029183,2,0,2,1
5,3029183,3,1,2,1
2,3029184,1,1,0,2
3,3029184,1,0,2,1
4,3029184,0,1,0,3
1,3029185,2,1,2,1
2,3029185,2,1,2,1
3,3029185,0,3,0,5
4,3029185,0,0,0,2
1,3029186,2,0,3,0
2,3029186,0,1,0,3
3,3029186,1,3,0,4
4,3029186,1,0,2,1
5,3029186,3,0,2,1
1,3029187,2,0,3,0
3,3029187,3,2,2,1
4,3029187,1,3,0,4
5,3029187,0,0,0,2
1,3029188,3,2,3,0
2,3029188,0,1,0,2
3,3029188,1,2,0,2
4,3029188,1,3,0,3
5,3029188,1,1,0,1
1,3029189,1,1,0,2
2,3029189,1,0,0,3
3,3029189,1,0,0,3
4,3029189,1,3,3,0
5,3029189,4,4,0,2
1,3029190,2,1,0,2
3,3029190,0,2,2,1
4,3029190,1,0,0,2
5,3029190,0,0,0,1
2,3029191,2,1,0,1
3,3029191,2,3,0,1
5,3029191,2,0,0,2
2,3029192,2,0,2,1
3,3029192,3,2,3,0
4,3029192,0,1,0,2
5,3029192,1,2,0,2
1,3029193,0,4,2,3
2,3029193,1,0,0,2
4,3029193,0,0,0,1
5,3029193,1,0,0,2
1,3029194,2,1,0,1
2,3029194,1,0,0,1
3,3029194,1,1,3,0
4,3029194,0,1,0,1
5,3029194,0,0,3,0
1,3029195,2,2,0,2
2,3029195,0,2,0,4
3,3029195,2,1,2,1
4,3029195,3,1,3,0
5,3029195,1,0,2,1
1,3029196,0,1,2,1
2,3029196,3,0,0,5
3,3029196,3,0,0,5
4,3029196,2,2,0,2
1,3029197,2,0,0,3
2,3029197,2,2,0,1
3,3029197,2,2,0,1
4,3029197,1,0,0,2
5,3029197,3,1,0,3
2,3029198,0,1,2,1
3,3029198,4,0,0,6
4,3029198,2,1,0,3
5,3029198,0,2,5,0
2,3029199,0,2,0,3
3,3029199,2,0,2,1
4,3029199,2,2,0,1
1,3029200,2,1,0,1
3,3029200,0,1,0,1
4,3029200,0,1,0,1
2,3029201,1,2,2,2
3,3029201,2,1,0,4
5,3029201,0,1,2,2
1,3029202,0,2,2,1
2,3029202,3,0,0,4
3,3029202,1,1,0,1
4,3029202,1,1,0,1
5,3029202,3,1,0,3
1,3029203,0,1,2,1
3,3029203,3,0,0,5
4,3029203,3,1,0,4
5,3029203,0,3,2,1
1,3029204,0,0,0,1
2,3029204,0,1,5,0
3,3029204,2,1,0,2
4,3029204,0,2,2,1
1,3029205,0,0,0,1
2,3029205,0,2,0,3
3,3029205,1,2,0,2
4,3029205,3,3,0,1
1,3029206,2,2,0,1
2,3029206,4,2,2,1
3,3029206,2,2,0,1
4,3029206,1,0,3,0
5,3029206,0,1,0,2
2,3029207,3,1,0,2
3,3029207,2,0,0,2
4,3029207,2,2,5,0
5,3029207,0,4,0,4
1,3029208,2,1,0,1
2,3029208,2,1,0,1
3,3029208,0,2,0,2
2,3029209,1,2,0,1
3,3029209,0,1,0,1
4,3029209,1,0,0,1
