stevilka,domaca_ekipa,gostujoca_ekipa,rezultat,krog,datum,ura,liga
3029073,663,677,4-1,1,2019-8-9,21:00,1
3029074,711,687,1-1,1,2019-8-10,16:00,1
3029075,698,670,3-0,1,2019-8-10,16:00,1
3029076,679,674,0-0,1,2019-8-10,16:00,1
3029077,682,680,0-0,1,2019-8-11,15:00,1
3029078,675,665,3-1,1,2019-8-10,18:30,1
3029079,696,703,0-3,1,2019-8-10,16:00,1
3029080,684,676,0-5,1,2019-8-10,13:30,1
3029081,662,661,4-0,1,2019-8-11,17:30,1
3029082,664,660,0-1,1,2019-8-11,15:00,1
3029083,660,698,2-1,2,2019-8-17,13:30,1
3029084,665,711,1-2,2,2019-8-17,16:00,1
3029085,703,684,1-1,2,2019-8-17,16:00,1
3029086,661,682,1-1,2,2019-8-18,17:30,1
3029087,674,696,1-0,2,2019-8-17,16:00,1
3029088,676,675,2-2,2,2019-8-17,18:30,1
3029089,677,664,3-1,2,2019-8-17,16:00,1
3029090,687,679,1-0,2,2019-8-18,15:00,1
3029091,670,663,1-2,2,2019-8-17,16:00,1
3029092,680,662,1-1,2,2019-8-19,21:00,1
3029093,711,676,1-3,3,2019-8-25,15:00,1
3029094,665,674,2-0,3,2019-8-23,21:00,1
3029095,703,670,0-2,3,2019-8-24,16:00,1
3029096,663,660,3-1,3,2019-8-24,18:30,1
3029097,662,679,1-2,3,2019-8-24,16:00,1
3029098,677,661,2-3,3,2019-8-24,13:30,1
3029099,687,682,1-2,3,2019-8-24,16:00,1
3029100,675,664,0-1,3,2019-8-25,17:30,1
3029101,696,684,1-3,3,2019-8-24,16:00,1
3029102,680,698,1-1,3,2019-8-25,17:30,1
3029103,660,675,2-2,4,2019-9-1,17:30,1
3029104,698,663,0-3,4,2019-8-31,18:30,1
3029105,661,687,2-2,4,2019-8-31,16:00,1
3029106,679,665,1-0,4,2019-8-31,16:00,1
3029107,674,680,3-2,4,2019-9-1,15:00,1
3029108,682,711,3-1,4,2019-8-31,16:00,1
3029109,676,703,4-0,4,2019-8-31,16:00,1
3029110,664,696,1-1,4,2019-8-31,16:00,1
3029111,670,662,1-1,4,2019-8-31,13:30,1
3029112,684,677,2-0,4,2019-8-31,16:00,1
3029113,711,674,3-1,5,2019-9-15,15:00,1
3029114,665,684,0-0,5,2019-9-16,21:00,1
3029115,703,698,1-1,5,2019-9-14,16:00,1
3029116,663,664,3-1,5,2019-9-14,13:30,1
3029117,662,682,1-0,5,2019-9-14,16:00,1
3029118,677,676,3-2,5,2019-9-14,18:30,1
3029119,687,670,0-1,5,2019-9-14,16:00,1
3029120,675,679,4-0,5,2019-9-14,16:00,1
3029121,696,660,2-2,5,2019-9-15,17:30,1
3029122,680,661,2-5,5,2019-9-14,16:00,1
3029123,660,665,3-2,6,2019-9-22,17:30,1
3029124,698,677,2-0,6,2019-9-21,16:00,1
3029125,661,663,1-2,6,2019-9-22,17:30,1
3029126,679,680,1-1,6,2019-9-22,15:00,1
3029127,674,687,0-2,6,2019-9-21,16:00,1
3029128,682,675,2-1,6,2019-9-21,13:30,1
3029129,676,696,8-0,6,2019-9-21,16:00,1
3029130,664,703,0-0,6,2019-9-21,18:30,1
3029131,670,711,1-3,6,2019-9-20,21:00,1
3029132,684,662,2-0,6,2019-9-22,15:00,1
3029133,711,684,2-2,7,2019-9-28,16:00,1
3029134,665,698,2-2,7,2019-9-28,16:00,1
3029135,661,703,2-0,7,2019-9-28,16:00,1
3029136,679,677,2-0,7,2019-9-28,16:00,1
3029137,674,676,1-3,7,2019-9-28,18:30,1
3029138,682,664,5-0,7,2019-9-29,17:30,1
3029139,662,660,1-1,7,2019-9-30,21:00,1
3029140,687,663,0-1,7,2019-9-28,13:30,1
3029141,675,670,2-1,7,2019-9-28,16:00,1
3029142,680,696,2-0,7,2019-9-28,16:00,1
3029143,660,711,1-0,8,2019-10-6,15:00,1
3029144,703,675,3-0,8,2019-10-5,13:30,1
